date,time,room,camera102,camera103,camera104,total_occupancy,cleaning,Deep Cleaning
29-03-2022,17:30:09,M1 Saperation Room,2,2,1,5,False,False
29-03-2022,17:30:12,M1 Saperation Room,2,2,1,5,False,False
29-03-2022,17:30:16,M1 Saperation Room,1,2,1,4,False,False
29-03-2022,17:30:21,M1 Saperation Room,1,2,1,4,False,False
29-03-2022,17:30:33,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:30:36,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:31:04,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:31:07,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:31:16,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:31:19,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:31:27,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:31:30,M1 Saperation Room,0,1,1,2,False,False
29-03-2022,17:31:45,M1 Saperation Room,2,2,1,5,False,False
29-03-2022,17:31:55,M1 Saperation Room,1,2,1,4,False,False
29-03-2022,17:32:22,M1 Saperation Room,1,2,0,3,False,False
29-03-2022,17:32:33,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:32:35,M1 Saperation Room,4,1,0,5,False,False
29-03-2022,17:32:41,M1 Saperation Room,3,1,0,4,False,False
29-03-2022,17:32:45,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:32:48,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:33:07,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:33:11,M1 Saperation Room,2,1,0,3,False,False
29-03-2022,17:33:15,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:33:23,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:33:30,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:33:32,M1 Saperation Room,1,1,1,3,False,False
29-03-2022,17:33:40,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:33:51,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:33:52,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:34:05,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:34:12,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:34:18,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:34:26,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:34:30,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:34:32,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:34:37,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:34:41,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:34:48,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:35:02,M1 Saperation Room,1,1,0,2,False,False
29-03-2022,17:35:06,M1 Saperation Room,0,1,0,1,False,False
29-03-2022,17:35:16,M1 Saperation Room,0,1,0,1,False,False
